date,hour,zone,sek_per_kwh,eur_per_kwh,ore_per_kwh
2023-03-19,00:00,SE3,0.4124,0.036,41.24
2023-03-19,01:00,SE3,0.4222,0.0369,42.22
2023-03-19,02:00,SE3,0.4441,0.0388,44.41
2023-03-19,03:00,SE3,0.4557,0.0398,45.57
2023-03-19,04:00,SE3,0.4805,0.042,48.05
2023-03-19,05:00,SE3,0.5006,0.0438,50.06
2023-03-19,06:00,SE3,0.5202,0.0455,52.02
2023-03-19,07:00,SE3,0.5627,0.0492,56.27
2023-03-19,08:00,SE3,0.6863,0.06,68.63
2023-03-19,09:00,SE3,0.872,0.0762,87.2
2023-03-19,10:00,SE3,0.8284,0.0724,82.84
2023-03-19,11:00,SE3,0.767,0.067,76.7
2023-03-19,12:00,SE3,0.6288,0.055,62.88
2023-03-19,13:00,SE3,0.5143,0.045,51.43
2023-03-19,14:00,SE3,0.5713,0.0499,57.13
2023-03-19,15:00,SE3,0.6289,0.055,62.89
2023-03-19,16:00,SE3,0.9039,0.079,90.39
2023-03-19,17:00,SE3,1.1301,0.0988,113.01
2023-03-19,18:00,SE3,1.1432,0.0999,114.32
2023-03-19,19:00,SE3,0.6115,0.0535,61.15
2023-03-19,20:00,SE3,0.383,0.0335,38.3
2023-03-19,21:00,SE3,0.3611,0.0316,36.11
2023-03-19,22:00,SE3,0.3238,0.0283,32.38
2023-03-19,23:00,SE3,0.2852,0.0249,28.52
2023-03-20,00:00,SE3,0.2966,0.0259,29.66
2023-03-20,01:00,SE3,0.295,0.0258,29.5
2023-03-20,02:00,SE3,0.3012,0.0263,30.12
2023-03-20,03:00,SE3,0.3288,0.0287,32.88
2023-03-20,04:00,SE3,0.3836,0.0335,38.36
2023-03-20,05:00,SE3,0.4462,0.039,44.62
2023-03-20,06:00,SE3,0.4692,0.041,46.92
2023-03-20,07:00,SE3,1.1809,0.1032,118.09
2023-03-20,08:00,SE3,1.1938,0.1043,119.38
2023-03-20,09:00,SE3,1.1851,0.1036,118.51
2023-03-20,10:00,SE3,1.1812,0.1032,118.12
2023-03-20,11:00,SE3,1.1596,0.1014,115.96
2023-03-20,12:00,SE3,1.1073,0.0968,110.73
2023-03-20,13:00,SE3,1.0895,0.0952,108.95
2023-03-20,14:00,SE3,1.0888,0.0952,108.88
2023-03-20,15:00,SE3,1.1068,0.0968,110.68
2023-03-20,16:00,SE3,1.1378,0.0995,113.78
2023-03-20,17:00,SE3,1.1987,0.1048,119.87
2023-03-20,18:00,SE3,1.2448,0.1088,124.48
2023-03-20,19:00,SE3,1.3763,0.1203,137.63
2023-03-20,20:00,SE3,1.2353,0.108,123.53
2023-03-20,21:00,SE3,1.2243,0.107,122.43
2023-03-20,22:00,SE3,1.1833,0.1034,118.33
2023-03-20,23:00,SE3,0.9041,0.079,90.41
2023-03-21,00:00,SE3,0.7264,0.065,72.64
2023-03-21,01:00,SE3,0.6133,0.0549,61.33
2023-03-21,02:00,SE3,0.4277,0.0383,42.77
2023-03-21,03:00,SE3,0.3978,0.0356,39.78
2023-03-21,04:00,SE3,0.4114,0.0368,41.14
2023-03-21,05:00,SE3,0.6562,0.0588,65.62
2023-03-21,06:00,SE3,1.1249,0.1007,112.49
2023-03-21,07:00,SE3,1.1451,0.1025,114.51
2023-03-21,08:00,SE3,1.146,0.1026,114.6
2023-03-21,09:00,SE3,1.131,0.1013,113.1
2023-03-21,10:00,SE3,1.1139,0.0998,111.39
2023-03-21,11:00,SE3,1.1001,0.0985,110.01
2023-03-21,12:00,SE3,1.0866,0.0973,108.66
2023-03-21,13:00,SE3,0.6488,0.0581,64.88
2023-03-21,14:00,SE3,0.6484,0.0581,64.84
2023-03-21,15:00,SE3,1.0339,0.0926,103.39
2023-03-21,16:00,SE3,1.0711,0.0959,107.11
2023-03-21,17:00,SE3,1.1202,0.1003,112.02
2023-03-21,18:00,SE3,1.1204,0.1003,112.04
2023-03-21,19:00,SE3,1.0874,0.0974,108.73
2023-03-21,20:00,SE3,0.6691,0.0599,66.91
2023-03-21,21:00,SE3,0.5054,0.0453,50.54
2023-03-21,22:00,SE3,0.4909,0.044,49.09
2023-03-21,23:00,SE3,0.4795,0.0429,47.95
2023-03-22,00:00,SE3,0.3931,0.0354,39.31
2023-03-22,01:00,SE3,0.3929,0.0354,39.29
2023-03-22,02:00,SE3,0.3907,0.0352,39.07
2023-03-22,03:00,SE3,0.3912,0.0352,39.12
2023-03-22,04:00,SE3,0.3979,0.0358,39.79
2023-03-22,05:00,SE3,0.4829,0.0435,48.29
2023-03-22,06:00,SE3,0.5649,0.0509,56.49
2023-03-22,07:00,SE3,0.9952,0.0896,99.52
2023-03-22,08:00,SE3,1.0379,0.0935,103.79
2023-03-22,09:00,SE3,0.8677,0.0781,86.77
2023-03-22,10:00,SE3,0.6018,0.0542,60.18
2023-03-22,11:00,SE3,0.4102,0.0369,41.02
2023-03-22,12:00,SE3,0.374,0.0337,37.4
2023-03-22,13:00,SE3,0.3619,0.0326,36.19
2023-03-22,14:00,SE3,0.4379,0.0394,43.79
2023-03-22,15:00,SE3,0.5056,0.0455,50.56
2023-03-22,16:00,SE3,0.464,0.0418,46.4
2023-03-22,17:00,SE3,0.4787,0.0431,47.87
2023-03-22,18:00,SE3,0.5089,0.0458,50.89
2023-03-22,19:00,SE3,0.4333,0.039,43.33
2023-03-22,20:00,SE3,0.3834,0.0345,38.34
2023-03-22,21:00,SE3,0.3378,0.0304,33.78
2023-03-22,22:00,SE3,0.269,0.0242,26.9
2023-03-22,23:00,SE3,0.2377,0.0214,23.77
2023-03-23,00:00,SE3,0.1105,0.0099,11.05
2023-03-23,01:00,SE3,0.0556,0.005,5.56
2023-03-23,02:00,SE3,0.0456,0.0041,4.55
2023-03-23,03:00,SE3,0.0457,0.0041,4.57
2023-03-23,04:00,SE3,0.0981,0.0088,9.81
2023-03-23,05:00,SE3,0.2634,0.0236,26.34
2023-03-23,06:00,SE3,0.3268,0.0293,32.68
2023-03-23,07:00,SE3,0.4309,0.0386,43.09
2023-03-23,08:00,SE3,0.49,0.0439,49.0
2023-03-23,09:00,SE3,0.4647,0.0416,46.47
2023-03-23,10:00,SE3,0.444,0.0398,44.4
2023-03-23,11:00,SE3,0.3984,0.0357,39.84
2023-03-23,12:00,SE3,0.3979,0.0356,39.79
2023-03-23,13:00,SE3,0.4052,0.0363,40.52
2023-03-23,14:00,SE3,0.4647,0.0416,46.47
2023-03-23,15:00,SE3,0.479,0.0429,47.9
2023-03-23,16:00,SE3,0.5137,0.046,51.37
2023-03-23,17:00,SE3,0.5579,0.05,55.79
2023-03-23,18:00,SE3,0.7258,0.065,72.58
2023-03-23,19:00,SE3,0.6375,0.0571,63.75
2023-03-23,20:00,SE3,0.5336,0.0478,53.36
2023-03-23,21:00,SE3,0.5019,0.0449,50.19
2023-03-23,22:00,SE3,0.4669,0.0418,46.69
2023-03-23,23:00,SE3,0.4152,0.0372,41.52
2023-03-24,00:00,SE3,0.3738,0.0333,37.38
2023-03-24,01:00,SE3,0.342,0.0305,34.2
2023-03-24,02:00,SE3,0.3399,0.0303,33.99
2023-03-24,03:00,SE3,0.3481,0.031,34.81
2023-03-24,04:00,SE3,0.3809,0.0339,38.09
2023-03-24,05:00,SE3,0.4401,0.0392,44.01
2023-03-24,06:00,SE3,0.5032,0.0448,50.32
2023-03-24,07:00,SE3,0.6575,0.0586,65.75
2023-03-24,08:00,SE3,0.8536,0.0761,85.36
2023-03-24,09:00,SE3,0.6598,0.0588,65.98
2023-03-24,10:00,SE3,0.4484,0.04,44.84
2023-03-24,11:00,SE3,0.3833,0.0342,38.33
2023-03-24,12:00,SE3,0.4095,0.0365,40.95
2023-03-24,13:00,SE3,0.3337,0.0297,33.37
2023-03-24,14:00,SE3,0.3447,0.0307,34.47
2023-03-24,15:00,SE3,0.3363,0.03,33.63
2023-03-24,16:00,SE3,0.4302,0.0383,43.02
2023-03-24,17:00,SE3,0.5602,0.0499,56.02
2023-03-24,18:00,SE3,0.5674,0.0506,56.74
2023-03-24,19:00,SE3,0.5027,0.0448,50.27
2023-03-24,20:00,SE3,0.448,0.0399,44.8
2023-03-24,21:00,SE3,0.4274,0.0381,42.74
2023-03-24,22:00,SE3,0.3799,0.0338,37.98
2023-03-24,23:00,SE3,0.3325,0.0296,33.25
2023-03-25,00:00,SE3,0.2648,0.0236,26.48
2023-03-25,01:00,SE3,0.0739,0.0066,7.39
2023-03-25,02:00,SE3,0.0339,0.003,3.39
2023-03-25,03:00,SE3,0.0231,0.0021,2.31
2023-03-25,04:00,SE3,0.02,0.0018,2.0
2023-03-25,05:00,SE3,0.0323,0.0029,3.23
2023-03-25,06:00,SE3,0.0516,0.0046,5.16
2023-03-25,07:00,SE3,0.258,0.023,25.8
2023-03-25,08:00,SE3,0.2843,0.0254,28.43
2023-03-25,09:00,SE3,0.3196,0.0285,31.96
2023-03-25,10:00,SE3,0.3188,0.0284,31.88
2023-03-25,11:00,SE3,0.3157,0.0282,31.57
2023-03-25,12:00,SE3,0.3144,0.028,31.44
2023-03-25,13:00,SE3,0.3161,0.0282,31.61
2023-03-25,14:00,SE3,0.331,0.0295,33.1
2023-03-25,15:00,SE3,0.4054,0.0362,40.54
2023-03-25,16:00,SE3,0.4554,0.0406,45.54
2023-03-25,17:00,SE3,0.4887,0.0436,48.87
2023-03-25,18:00,SE3,0.6728,0.06,67.28
2023-03-25,19:00,SE3,0.719,0.0641,71.9
